Culture,Isolation,Tissue,SampleState,SamplePlot,SampleRep,SampleID,Media,IsolateNum,Isolate,Reps.numerator,Reps.denominator,MorphoDate,Morphorep,Morphosp,MorphospLong,Morpho2,Update.from.original,Query.sequence,Taxon.assignment,Likelihood.weight,otu,Phylum,Class,Order,Family,Genus,otu.tree,otu.num,voucher
9/10/20,9/20/20,Root,IN,SW,13,IN-SW-13,GYRBA,205,GW20_205,1,10,10/1/20,3,3,IN-3-3,IN-3-3,,Root_367,Pezizo.OTU28.1,NA,Trichocladium_sp,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Trichocladium,NA,28.1,Root_367
9/10/20,9/20/20,Root,IN,SW,13,IN-SW-13,GYRBA,206,GW20_206,1,10,10/1/20,3,3,IN-3-3,IN-3-3,,Root_367,Pezizo.OTU28.1,NA,Trichocladium_sp,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Trichocladium,NA,28.1,Root_367
9/10/20,9/20/20,Root,IN,SW,13,IN-SW-13,GYRBA,207,GW20_207,1,10,10/1/20,3,3,IN-3-3,IN-3-3,,Root_367,Pezizo.OTU28.1,NA,Trichocladium_sp,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Trichocladium,NA,28.1,Root_367
9/15/20,10/12/20,Root,IN,NE,1,IN-NE-1,GYRBA,602,GW20_602,1,10,10/28/20,7,,Single,Single,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/15/20,10/12/20,Root,IN,NE,2,IN-NE-2,1/2PDA++,610,GW20_610,1,10,10/28/20,7,11,IN-7-11,IN-7-11,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/11/20,9/20/20,Root,IN,NE,4,IN-NE-4,1/2PDA++,232,GW20_232,1,10,10/1/20,3,10,IN-3-10,IN-3-10,,Root_232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/11/20,9/20/20,Root,IN,NE,4,IN-NE-4,Armillaria,245,GW20_245,1,10,10/1/20,3,10,IN-3-10,IN-3-10,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/17/20,10/2/20,Root,IN,NE,9,IN-NE-9,1/2PDA++,444,GW20_444,1,10,10/12/20,5,3,IN-5-3,IN-5-3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/8/20,9/14/20,Root,IN,NE,11,IN-NE-11,GYRBA,91,GW20_91,1,10,9/24/20,1,11,IN-1-11,IN-1-11,,Root_91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/18/20,9/25/20,Canker,IN,NE,12,IN-NE-12,1/2PDA++,49,GW_Cank20_49,1,4,,1,18,CM-18,CM-18,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/18/20,9/25/20,Canker,IN,NE,13,IN-NE-13,1/2PDA++,63,GW_Cank20_63,1,5,,1,,Single,Single,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/1/20,10/7/20,Canker,IN,SW,1,IN-SW-1,1/2PDA++,109,GW_Cank20_109,2,5,,2,38,CM-38,CM-38,,Canker_109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/15/20,9/25/20,Root,IN,SW,1,IN-SW-1,MSJ,358,GW20_358,1,10,9/25/20,NA,,Single,Single,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/15/20,9/25/20,Root,IN,SW,1,IN-SW-1,MSJ,359,GW20_359,1,10,9/25/20,NA,,Single,Single,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/15/20,9/25/20,Root,IN,SW,1,IN-SW-1,MSJ,360,GW20_360,1,10,9/25/20,NA,,Single,Single,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/15/20,9/25/20,Root,IN,SW,1,IN-SW-1,MSJ,361,GW20_361,1,10,9/25/20,NA,,Single,Single,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/15/20,9/25/20,Root,IN,SW,1,IN-SW-1,MSJ,363,GW20_363,1,10,9/25/20,NA,,Single,Single,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/18/20,9/25/20,Canker,IN,SW,2,IN-SW-2,1/2PDA++,22,GW_Cank20_22,1,5,,1,X,CM-X,CM-X,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/8/20,9/14/20,Root,IN,SW,3,IN-SW-3,Armillaria,26,GW20_26,1,10,9/24/20,1,5,IN-1-5,IN-1-5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/10/20,9/20/20,Root,IN,SW,4,IN-SW-4,Armillaria,211,GW20_211,1,10,10/1/20,3,7,IN-3-7,IN-3-7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/10/20,9/20/20,Root,IN,SW,4,IN-SW-4,Armillaria,212,GW20_212,1,10,10/1/20,3,7,IN-3-7,IN-3-7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/11/20,10/9/20,Root,IN,SW,7,IN-SW-2,SFA,548,GW20_548,1,10,10/28/20,6,10,IN-6-10,IN-6-10,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/11/20,10/9/20,Root,IN,SW,7,IN-SW-2,SFA,546,GW20_546,1,10,10/28/20,6,9,IN-6-9,IN-6-9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/11/20,10/9/20,Root,IN,SW,7,IN-SW-2,SFA,547,GW20_547,1,10,10/28/20,6,9,IN-6-9,IN-6-9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/22/20,10/2/20,Root,IN,SW,12,IN-SW-12,1/2PDA++,481,GW20_481,1,10,10/12/20,5,7,IN-5-7,IN-5-7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/11/20,10/9/20,Root,IN,SW,12,IN-SW-12,GYRBA,541,GW20_541,1,10,10/28/20,6,7,IN-6-7,IN-6-7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/9/20,9/20/20,Root,IN,SW,15,IN-SW-15,SFA,304,GW20_304,1,10,9/25/20,NA,,Morpho-2,Single,Split,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/22/20,10/14/20,Root,SW,SE,14,IN-SW-14,MSJ,640,GW20_640,1,10,10/28/20,8,,Single,Single,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/22/20,10/14/20,Root,SW,SE,14,IN-SW-14,MSJ,639,GW20_639,1,10,10/28/20,7,21,SW-7-21,SW-7-21,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/8/20,10/26/20,Root,WA,N,1,WA-N-1,MSJ,677,GW20_677,5,10,10/28/20,8,12,M-8-12,M-8-12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/22/20,10/2/20,Root,WA,N,3,WA-N-3,1/2PDA++,475,GW20_475,1,10,10/12/20,5,15,WA-5-15,WA-5-15-1,,Root_475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/22/20,10/2/20,Root,WA,N,3,WA-N-3,GYRBA,473,GW20_473,1,10,10/12/20,5,46,WA-5-46,WA-5-46,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/17/20,10/2/20,Root,WA,N,6,WA-N-6,MSJ,419,GW20_419,1,10,10/12/20,5,20,WA-5-20,WA-5-20,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/17/20,10/2/20,Root,WA,N,6,WA-N-6,MSJ,422,GW20_422,1,10,10/12/20,5,23,WA-5-23,WA-5-20,Lump,Root_422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/17/20,10/2/20,Root,WA,N,6,WA-N-6,GYRBA,425,GW20_425,1,10,10/12/20,5,26,WA-5-26,WA-5-26,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/9/20,9/16/20,Root,WA,N,11,WA-N-11,1/2PDA++,136,GW20_136,1,10,9/28/20,2,11,WA-2-11,WA-2-11-1,Split,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/9/20,9/20/20,Root,WA,N,14,WA-N-14,SFA,290,GW20_290,1,10,10/1/20,3,21,WA-3-21,WA-3-21,,Root_290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/10/20,10/9/20,Root,WA,N,16,WA-N-16,GYRBA,534,GW20_534,1,10,10/28/20,6,9,WA-6-9,WA-6-9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/8/20,10/26/20,Root,WA,N,17,WA-N-17,MSJ,680,GW20_680,1,10,10/28/20,8,,Single,Single,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/8/20,10/26/20,Root,WA,N,17,WA-N-17,MSJ,681,GW20_681,1,10,10/28/20,8,,Single,Single,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/8/20,10/26/20,Root,WA,N,17,WA-N-17,MSJ,682,GW20_682,1,10,10/28/20,8,,Single,Single,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/22/20,10/2/20,Root,WA,N,18,WA-N-18,Armillaria,501,GW20_501,1,10,10/12/20,5,51,WA-5-51,WA-5-51,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/11/20,10/14/20,Root,WA,SE,1,WA-SE-1,MSJ,630,GW20_630,1,10,10/28/20,7,18,WA-7-18,WA-7-18,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/8/20,10/26/20,Root,WA,SE,2,WA-SE-2,MSJ,679,GW20_679,10,10,10/28/20,8,12,M-8-12,M-8-12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/10/20,9/20/20,Root,WA,SE,4,WA-SE-4,Armillaria,222,GW20_222,1,10,10/1/20,3,12,WA-3-12,WA-3-12,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/1/20,10/7/20,Canker,WA,SE,5,WA-SE-5,1/2PDA++,90,GW_Cank20_90,1,4,,2,,Single,Single,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/17/20,10/12/20,Root,WA,SE,6,WA-SE-6,MSJ,563,GW20_563,1,10,10/28/20,7,,Single,Single,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/22/20,10/2/20,Root,WA,SE,10,WA-SE-10,1/2PDA++,499,GW20_499,1,10,10/12/20,5,13,WA-5-13,WA-5-13,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/15/20,9/25/20,Root,WA,SE,11,WA-SE-11,MSJ,370,GW20_370,1,10,9/25/20,4,,Single,Single,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/17/20,10/2/20,Root,WA,SE,13,WA-SE-13,GYRBA,430B,GW20_430B,1,10,10/12/20,5,29,WA-5-29,WA-5-29,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/8/20,10/2/20,Root,WA,SE,15,WA-SE-15,MSJ,393,GW20_393,1,10,10/12/20,5,11,WA-5-11,WA-5-11,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/8/20,9/20/20,Root,WA,SE,17,WA-SE-17,Armillaria,302,GW20_302,1,10,9/25/20,NA,,Morpho-2,Single,Split,Root_302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/8/20,9/20/20,Root,WA,SE,18,WA-SE-18,1/2PDA++,274,GW20_274,1,10,10/1/20,3,,Single,Single,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/8/20,10/9/20,Root,WA,SE,18,WA-SE-18,SFA,518,GW20_518,1,10,10/28/20,6,,Single,Single,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/1/20,10/7/20,Canker,WA,SE,19,WA-SE-19,1/2PDA++,84,GW_Cank20_84,3,5,,2,,Single,Single,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/22/20,10/2/20,Root,WA,SE,19,WA-SE-19,MSJ,461,GW20_461,1,10,10/12/20,5,13,WA-5-13,WA-5-13,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/10/20,9/20/20,Root,WA,SW,2,WA-SW-2,1/2PDA++,178,GW20_178,1,10,10/1/20,3,2,WA-3-2,WA-3-2,,Root_178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/15/20,9/25/20,Root,WA,SW,4,WA-SW-4,MSJ,351,GW20_351,1,10,9/25/20,4,,Single,Single,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/15/20,9/25/20,Root,WA,SW,4,WA-SW-4,1/2PDA++,364,GW20_364,1,10,9/25/20,4,9,WA-4-9,WA-4-9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/10/20,9/20/20,Root,WA,SW,5,WA-SW-5,GYRBA,185,GW20_185,1,10,10/1/20,3,5,WA-3-5,WA-3-5,,Root_185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/10/20,10/9/20,Root,WA,SW,6,WA-SW-6,MSJ,520,GW20_520,1,10,10/28/20,6,5,WA-6-5,WA-6-5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/1/20,10/7/20,Canker,WA,SW,7,WA-SW-7,1/2PDA++,92,GW_Cank20_92,2,2,,2,,Single,Single,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/22/20,10/26/20,Root,WA,SW,7,WA-SW-7,MSJ,644,GW20_644,9,10,10/28/20,8,,Single,Single,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/8/20,10/26/20,Root,WA,SW,10,WA-SW-10,MSJ,678,GW20_678,3,10,10/28/20,8,,Single,Single,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/10/20,10/9/20,Root,WA,SW,10,WA-SW-10,MSJ,537,GW20_537,1,10,10/28/20,6,12,WA-6-12,WA-6-12,,Root_537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/17/20,10/2/20,Root,WA,SW,12,WA-SW-12,1/2PDA++,441,GW20_441,1,10,10/12/20,5,34,WA-5-34,WA-5-34,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/17/20,10/2/20,Root,WA,SW,19,WA-SW-19,MSJ,395,GW20_395,1,10,10/12/20,5,,Single,Single,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/17/20,10/2/20,Root,WA,SW,19,WA-SW-19,MSJ,398,GW20_398,1,10,10/12/20,5,11,WA-5-11,WA-5-11,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/17/20,10/2/20,Root,WA,SW,19,WA-SW-19,GYRBA,415,GW20_415,1,10,10/12/20,5,18,WA-5-18,WA-5-18,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,Root,,,NA,,,369a,GW20_369a,1,10,,4,,Singleton,Singleton,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,Root,,,NA,,,369b,GW20_369b,1,10,,4,,Singleton,Singleton,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/1/20,10/7/20,Canker,IN,NE,2,IN-NE-2,1/2PDA++,126,GW_Cank20_126,4,5,,2,28,CM-28,CM-28,,NA,Geosmithia_morbida_IN66,NA,OTU.Gm,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales,Geosmithia,NA,NA,NA
9/18/20,9/25/20,Canker,IN,NE,3,IN-NE-3,1/2PDA++,13,GW_Cank20_13,1,5,,1,1,CM-1,CM-1,,NA,Geosmithia_morbida_IN66,NA,OTU.Gm,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales,Geosmithia,NA,NA,NA
9/18/20,9/25/20,Canker,IN,NE,7,IN-NE-7,1/2PDA++,60,GW_Cank20_60,3,5,,1,1,CM-1,CM-1,,NA,Geosmithia_morbida_IN66,NA,OTU.Gm,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales,Geosmithia,NA,NA,NA
9/18/20,9/25/20,Canker,IN,NE,8,IN-NE-8,1/2PDA++,39,GW_Cank20_39,2,5,,1,1,CM-1,CM-1,,NA,Geosmithia_morbida_IN66,NA,OTU.Gm,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales,Geosmithia,NA,NA,NA
10/1/20,10/7/20,Canker,IN,NE,9,IN-NE-9,1/2PDA++,129,GW_Cank20_129,2,5,,2,28,CM-28,CM-28,,NA,Geosmithia_morbida_IN66,NA,OTU.Gm,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales,Geosmithia,NA,NA,NA
10/1/20,10/7/20,Canker,IN,NE,16,IN-NE-16,1/2PDA++,77,GW_Cank20_77,4,4,,2,28,CM-28,CM-28,,NA,Geosmithia_morbida_IN66,NA,OTU.Gm,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales,Geosmithia,NA,NA,NA
9/18/20,9/25/20,Canker,IN,SW,2,IN-SW-2,1/2PDA++,21,GW_Cank20_21,3,5,,1,1,CM-1,CM-1,,NA,Geosmithia_morbida_IN66,NA,OTU.Gm,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales,Geosmithia,NA,NA,NA
9/18/20,9/25/20,Canker,IN,SW,3,IN-SW-3,1/2PDA++,36,GW_Cank20_36,3,4,,1,1,CM-1,CM-1,,NA,Geosmithia_morbida_IN66,NA,OTU.Gm,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales,Geosmithia,NA,NA,NA
9/18/20,9/25/20,Canker,IN,SW,3,IN-SW-3,1/2PDA++,37,GW_Cank20_37,3,4,,1,1,CM-1,CM-1,,NA,Geosmithia_morbida_IN66,NA,OTU.Gm,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales,Geosmithia,NA,NA,NA
10/1/20,10/7/20,Canker,IN,SW,5,IN-SW-5,1/2PDA++,144,GW_Cank20_144,1,5,,2,28,CM-28,CM-28,,NA,Geosmithia_morbida_IN66,NA,OTU.Gm,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales,Geosmithia,NA,NA,NA
10/1/20,10/7/20,Canker,IN,SW,6,IN-SW-6,1/2PDA++,140,GW_Cank20_140,3,5,,2,28,CM-28,CM-28,,NA,Geosmithia_morbida_IN66,NA,OTU.Gm,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales,Geosmithia,NA,NA,NA
10/1/20,10/7/20,Canker,IN,SW,6,IN-SW-6,1/2PDA++,141,GW_Cank20_141,2,5,,2,36,CM-36,CM-36,,NA,Geosmithia_morbida_IN66,NA,OTU.Gm,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales,Geosmithia,NA,NA,NA
10/1/20,10/7/20,Canker,IN,SW,9,IN-SW-9,1/2PDA++,152,GW_Cank20_152,1,5,,2,28,CM-28,CM-28,,NA,Geosmithia_morbida_IN66,NA,OTU.Gm,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales,Geosmithia,NA,NA,NA
9/18/20,9/25/20,Canker,IN,SW,15,IN-SW-15,1/2PDA++,74,GW_Cank20_74,4,5,,1,1,CM-1,CM-1,,NA,Geosmithia_morbida_IN66,NA,OTU.Gm,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales,Geosmithia,NA,NA,NA
9/18/20,9/25/20,Canker,WA,N,1,WA-N-1,1/2PDA++,45,GW_Cank20_45,2,5,,1,1,CM-1,CM-1,,NA,Geosmithia_morbida_IN66,NA,OTU.Gm,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales,Geosmithia,NA,NA,NA
10/1/20,10/7/20,Canker,WA,N,4,WA-N-4,1/2PDA++,114,GW_Cank20_114,4,5,,2,28,CM-28,CM-28,,NA,Geosmithia_morbida_IN66,NA,OTU.Gm,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales,Geosmithia,NA,NA,NA
10/1/20,10/7/20,Canker,WA,N,4,WA-N-4,1/2PDA++,116,GW_Cank20_116,3,5,,2,36,CM-36,CM-36,,NA,Geosmithia_morbida_IN66,NA,OTU.Gm,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales,Geosmithia,NA,NA,NA
10/1/20,10/7/20,Canker,WA,N,6,WA-N-6,1/2PDA++,124,GW_Cank20_124,4,4,,2,28,CM-28,CM-28,,NA,Geosmithia_morbida_IN66,NA,OTU.Gm,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales,Geosmithia,NA,NA,NA
9/18/20,9/25/20,Canker,WA,N,9,WA-N-9,1/2PDA++,4,GW_Cank20_4,3,5,,1,1,CM-1,CM-1,,NA,Geosmithia_morbida_IN66,NA,OTU.Gm,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales,Geosmithia,NA,NA,NA
9/18/20,9/25/20,Canker,WA,N,9,WA-N-9,1/2PDA++,5,GW_Cank20_5,2,5,,1,1,CM-1,CM-1,,NA,Geosmithia_morbida_IN66,NA,OTU.Gm,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales,Geosmithia,NA,NA,NA
9/18/20,9/25/20,Canker,WA,N,11,WA-N-11,1/2PDA++,57,GW_Cank20_57,5,5,,1,1,CM-1,CM-1,,NA,Geosmithia_morbida_IN66,NA,OTU.Gm,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales,Geosmithia,NA,NA,NA
9/18/20,9/25/20,Canker,WA,N,11,WA-N-11,1/2PDA++,58,GW_Cank20_58,3,5,,1,1,CM-1,CM-1,,NA,Geosmithia_morbida_IN66,NA,OTU.Gm,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales,Geosmithia,NA,NA,NA
9/18/20,9/25/20,Canker,WA,N,16,WA-N-16,1/2PDA++,2,GW_Cank20_2,5,5,,1,1,CM-1,CM-1,,NA,Geosmithia_morbida_IN66,NA,OTU.Gm,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales,Geosmithia,NA,NA,NA
9/18/20,9/25/20,Canker,WA,N,16,WA-N-16,1/2PDA++,3,GW_Cank20_3,3,5,,1,1,CM-1,CM-1,,NA,Geosmithia_morbida_IN66,NA,OTU.Gm,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales,Geosmithia,NA,NA,NA
10/1/20,10/7/20,Canker,WA,N,17,WA-N-17,1/2PDA++,154,GW_Cank20_154,2,5,,2,28,CM-28,CM-28,,NA,Geosmithia_morbida_IN66,NA,OTU.Gm,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales,Geosmithia,NA,NA,NA
